real12,pred12,real3,pred3
364.0,306.03552,274.0,283.27625
332.0,306.95184,289.0,290.6463
356.0,284.60117,262.0,281.71783
389.0,270.73395,232.0,277.46072
350.0,276.86795,274.0,285.05087
310.0,274.63226,265.0,278.98224
286.0,277.32285,199.0,274.9186
329.0,272.86865,205.0,267.0214
232.0,265.28967,350.0,258.2425
274.0,255.36743,364.0,256.5821
368.0,262.60507,332.0,256.45676
302.0,271.679,356.0,264.95917
323.0,280.98383,389.0,284.36307
245.0,286.41797,350.0,290.36273
299.0,282.59134,310.0,292.62726
305.0,294.21094,286.0,306.4495
255.0,314.27618,329.0,312.54932
353.0,313.3876,232.0,316.71964
223.0,305.94934,274.0,311.03488
223.0,304.28284,368.0,314.13242
284.0,297.7131,302.0,309.97705
307.0,300.58136,323.0,314.11804
371.0,295.61633,245.0,307.63623
253.0,292.31793,299.0,308.09692
292.0,295.22754,305.0,312.50427
313.0,296.81952,255.0,293.85577
341.0,284.6748,353.0,294.47903
329.0,287.84238,223.0,294.2511
323.0,303.2019,223.0,302.36978
255.0,295.60944,284.0,301.74414
302.0,283.43604,307.0,281.95685
274.0,277.06418,371.0,284.18024
295.0,270.4671,253.0,268.65387
299.0,269.0647,292.0,275.0019
320.0,273.68073,313.0,287.09335
329.0,283.06412,341.0,288.75522
310.0,277.60764,329.0,285.8085
284.0,276.5568,323.0,284.778
211.0,286.47467,255.0,293.873
350.0,283.29883,302.0,296.8012
307.0,293.6093,274.0,303.59882
295.0,288.79816,295.0,299.15152
313.0,292.45523,299.0,302.80292
341.0,279.36374,320.0,290.08316
286.0,259.66656,329.0,275.221
281.0,269.83765,310.0,286.727
323.0,280.9832,284.0,289.72632
332.0,281.413,211.0,291.3446
341.0,285.4357,350.0,293.2639
325.0,289.71814,307.0,294.568
295.0,287.74515,295.0,285.1436
292.0,294.0791,313.0,294.10794
281.0,295.5686,341.0,296.4502
265.0,301.14264,286.0,300.00647
265.0,303.31488,281.0,306.2318
268.0,307.019,323.0,308.74008
307.0,302.77054,332.0,310.7957
284.0,297.35236,341.0,303.83035
255.0,300.81876,325.0,308.129
323.0,308.48093,295.0,312.91675
292.0,305.25415,292.0,313.31583
265.0,310.20526,281.0,316.11636
265.0,302.3938,265.0,310.8299
205.0,304.98538,265.0,312.5547
302.0,292.29828,268.0,301.64368
268.0,297.69116,307.0,305.39365
323.0,288.7051,284.0,299.64926
350.0,288.75836,255.0,296.88864
292.0,288.83997,323.0,296.4068
277.0,289.575,292.0,294.25626
299.0,287.6067,265.0,289.5766
364.0,284.91107,265.0,291.63287
360.0,276.03342,205.0,284.8142
274.0,273.07538,302.0,279.77777
277.0,276.86142,268.0,284.54968
343.0,273.32068,323.0,279.20984
415.0,279.5299,350.0,287.94974
281.0,266.40927,292.0,275.19598
364.0,274.475,277.0,289.61118
415.0,275.38458,299.0,291.44
385.0,278.1124,364.0,292.5803
360.0,280.15955,360.0,289.43002
307.0,282.48227,274.0,289.65466
360.0,296.9759,277.0,306.83685
332.0,309.53262,343.0,315.9074
268.0,309.1178,415.0,318.80112
251.0,301.38373,281.0,316.77374
286.0,299.53876,364.0,316.19043
251.0,297.62598,415.0,320.117
271.0,301.40027,385.0,317.55392
274.0,307.49966,360.0,321.6903
237.0,300.5125,307.0,325.51685
223.0,290.5918,360.0,317.80786
214.0,303.26242,332.0,330.7408
232.0,292.75696,268.0,315.7854
216.0,297.62122,251.0,315.3059
202.0,285.50513,286.0,303.2309
234.0,269.78653,251.0,292.53113
223.0,263.45166,271.0,282.80228
199.0,253.76059,274.0,280.43344
207.0,253.79315,237.0,281.04886
196.0,246.29207,223.0,272.96158
190.0,240.18454,214.0,263.68417
193.0,237.82462,232.0,256.2172
190.0,234.18698,216.0,252.93864
186.0,222.23973,202.0,238.08174
234.0,214.19572,234.0,234.16551
214.0,200.67606,223.0,228.97116
153.0,197.55492,199.0,225.7435
88.0,193.4568,207.0,221.59383
88.0,184.49583,196.0,218.40462
128.0,177.33475,190.0,210.0025
202.0,168.12706,193.0,203.07703
168.0,163.88394,190.0,197.14044
153.0,156.72388,186.0,195.16109
199.0,158.443,234.0,192.59291
176.0,145.23915,214.0,186.37268
176.0,140.14514,153.0,184.2778
159.0,136.35368,88.0,186.93867
166.0,135.20149,88.0,186.65456
121.0,135.11983,128.0,183.50769
147.0,113.70176,202.0,161.38072
111.0,109.410614,168.0,147.1914
90.0,102.834145,153.0,132.8555
88.0,95.55324,199.0,133.15988
88.0,90.132935,176.0,131.29207
88.0,86.8299,176.0,128.07306
88.0,88.19081,159.0,122.527054
90.0,89.012276,166.0,117.6744
88.0,99.95649,121.0,131.58617
88.0,98.49444,147.0,125.983284
88.0,103.787865,111.0,129.59271
97.0,95.64255,90.0,121.12507
102.0,94.61668,88.0,120.457756
88.0,92.09363,88.0,110.41673
88.0,90.282684,88.0,107.464355
88.0,89.72544,88.0,100.011665
88.0,87.97743,90.0,98.01967
90.0,87.97514,88.0,96.818115
90.0,85.80438,88.0,91.008606
102.0,87.72787,88.0,90.92444
102.0,85.11653,97.0,86.34438
88.0,86.60959,102.0,86.736336
88.0,86.85665,88.0,87.11871
102.0,87.46383,88.0,87.742065
88.0,88.4612,88.0,88.416145
88.0,88.640976,88.0,89.5235
88.0,88.73619,90.0,89.79506
88.0,87.856186,90.0,88.1002
88.0,89.63701,102.0,90.98803
88.0,87.563736,102.0,87.98489
90.0,88.883514,88.0,89.650734
93.0,88.31182,88.0,89.56473
93.0,88.943184,102.0,90.9039
108.0,89.55607,88.0,91.37508
88.0,88.6647,88.0,90.47377
88.0,89.14036,88.0,91.32059
97.0,88.62943,88.0,89.96576
88.0,88.683975,88.0,91.11861
90.0,88.24228,88.0,90.19299
88.0,88.350395,90.0,89.21952
117.0,89.03392,93.0,88.55071
90.0,88.905846,93.0,88.81959
88.0,88.306114,108.0,88.039345
90.0,88.186745,88.0,87.15455
93.0,89.08941,88.0,88.454796
114.0,91.05473,97.0,89.50675
88.0,96.42473,88.0,88.96775
132.0,99.96639,90.0,90.07869
114.0,100.09921,88.0,87.70938
124.0,102.53505,117.0,88.1026
102.0,100.867645,90.0,87.38643
111.0,100.48439,88.0,86.810745
121.0,115.86573,90.0,86.39828
111.0,119.39842,93.0,87.47306
111.0,132.33786,114.0,92.8327
88.0,152.425,88.0,93.42686
88.0,140.28981,132.0,93.42052
88.0,159.68181,114.0,95.31298
124.0,160.66586,124.0,92.38444
226.0,155.51566,102.0,94.4465
176.0,162.71083,111.0,95.00366
181.0,157.70613,121.0,112.36915
190.0,145.41365,111.0,108.05359
186.0,157.2748,111.0,116.04631
205.0,183.16547,88.0,126.75989
202.0,196.54279,88.0,137.54985
181.0,193.61485,88.0,142.0618
176.0,199.40173,124.0,144.42496
211.0,200.51463,226.0,143.11996
211.0,195.79381,176.0,132.94476
199.0,206.39694,181.0,144.5716
247.0,231.85947,190.0,166.94135
265.0,240.95773,186.0,175.9139
216.0,250.78722,205.0,193.40878
245.0,244.18695,202.0,187.98222
211.0,239.52757,181.0,195.4331
251.0,234.85768,176.0,202.07613
299.0,249.6076,211.0,214.29636
253.0,244.21973,211.0,216.88046
274.0,241.35977,199.0,223.57587
307.0,242.22047,247.0,223.35498
284.0,249.15157,265.0,229.47696
286.0,253.44846,216.0,229.16884
286.0,253.9119,245.0,229.28171
323.0,262.08746,211.0,235.01833
211.0,266.17993,251.0,239.67937
284.0,272.71198,299.0,240.30156
295.0,256.20566,253.0,233.77155
334.0,280.79205,274.0,244.71597
286.0,290.69794,307.0,259.97433
338.0,298.6758,284.0,267.2932
289.0,303.24927,286.0,282.0749
299.0,293.9415,286.0,280.985
368.0,310.4201,323.0,277.76044
378.0,339.12836,211.0,305.57855
341.0,342.4312,284.0,301.7281
360.0,338.87793,295.0,304.43958
320.0,328.4069,334.0,292.8679
334.0,329.0827,286.0,306.2959
378.0,314.53522,338.0,307.19843
353.0,317.06696,289.0,318.16068
353.0,321.51755,299.0,316.26212
400.0,324.00925,368.0,327.44897
380.0,329.8272,378.0,320.866
398.0,337.25873,341.0,321.42126
316.0,329.2727,360.0,323.06427
329.0,337.19458,320.0,324.1302
404.0,336.11853,334.0,323.94873
346.0,363.3277,378.0,351.32886
332.0,358.25458,353.0,348.0753
383.0,356.77618,353.0,342.34125
356.0,344.50177,400.0,340.43427
286.0,349.08014,380.0,353.40027
289.0,358.71408,398.0,359.3963
395.0,356.34167,316.0,356.37448
415.0,360.68054,329.0,362.99298
334.0,364.427,404.0,356.7295
332.0,361.75647,346.0,350.1194
395.0,372.40024,332.0,361.94595
378.0,369.55652,383.0,364.61066
325.0,377.51056,356.0,360.3913
356.0,365.83838,286.0,349.97052
353.0,351.42126,289.0,339.37128
374.0,364.8274,395.0,354.54114
320.0,351.9089,415.0,337.14215
392.0,338.31937,334.0,333.95374
398.0,327.38995,332.0,327.8024
313.0,335.22803,395.0,336.14136
302.0,338.69543,378.0,342.1073
313.0,326.01398,325.0,346.04593
334.0,336.70966,356.0,330.69342
332.0,326.2077,353.0,329.96704
316.0,344.37762,374.0,337.5324
332.0,340.2913,320.0,345.5055
341.0,335.37378,392.0,338.0007
360.0,338.09247,398.0,347.42365
371.0,326.10294,313.0,336.43
380.0,334.59488,302.0,343.8227
295.0,329.52026,313.0,340.8493
329.0,331.12372,334.0,339.8633
343.0,337.77747,332.0,347.05988
360.0,325.29916,316.0,334.899
341.0,329.05597,332.0,337.0083
271.0,328.31345,341.0,333.10843
404.0,335.32715,360.0,335.6916
284.0,333.6581,371.0,337.80414
325.0,330.4655,380.0,331.48376
392.0,334.55594,295.0,333.66718
259.0,325.20227,329.0,333.20142
245.0,345.08875,343.0,340.92413
378.0,349.5451,360.0,349.34296
310.0,331.6256,341.0,332.33664
325.0,337.6037,271.0,341.13367
323.0,331.54236,404.0,331.87418
310.0,358.06012,284.0,345.67426
305.0,340.75183,325.0,330.65405
334.0,375.323,392.0,360.00854
350.0,341.61423,259.0,344.1078
400.0,375.68665,245.0,362.03125
307.0,342.85886,378.0,341.25458
289.0,369.0563,310.0,363.23035
323.0,341.20187,325.0,337.17212
320.0,336.20667,323.0,325.86163
398.0,325.47217,310.0,325.34155
329.0,337.1481,305.0,333.0777
329.0,325.72946,334.0,326.94547
332.0,310.07315,350.0,318.06003
325.0,309.44803,400.0,317.44867
286.0,302.70267,307.0,314.03168
329.0,311.02515,289.0,321.98984
346.0,316.92218,323.0,323.7823
360.0,315.4346,320.0,322.74365
307.0,321.2635,398.0,323.65796
325.0,327.3807,329.0,325.38712
368.0,319.47028,329.0,317.82526
313.0,313.6951,332.0,325.3748
320.0,307.41602,325.0,316.34363
325.0,323.8587,286.0,327.91437
316.0,318.52573,329.0,323.18182
289.0,313.32306,346.0,318.0161
299.0,310.02585,360.0,319.214
299.0,312.16595,307.0,316.65826
295.0,306.52332,325.0,314.64896
329.0,313.29565,368.0,318.21823
313.0,340.37622,313.0,327.90497
307.0,331.85226,320.0,320.4462
360.0,343.65533,325.0,335.3688
329.0,345.42242,316.0,333.05212
323.0,334.4278,289.0,331.22174
320.0,329.6746,299.0,328.68335
413.0,303.08044,299.0,318.207
360.0,315.60547,295.0,330.2179
334.0,300.80777,329.0,317.88614
313.0,287.75464,313.0,300.90356
353.0,279.4649,307.0,294.3054
346.0,281.86548,360.0,293.87506
371.0,276.11252,329.0,286.63354
378.0,275.53952,323.0,290.59326
378.0,275.83838,320.0,293.8629
302.0,307.24478,413.0,310.0726
395.0,301.38477,360.0,303.80978
341.0,309.9549,334.0,311.34113
286.0,320.34418,313.0,321.1807
353.0,307.55786,353.0,310.24478
320.0,320.452,346.0,323.75876
313.0,323.31226,371.0,325.7198
277.0,314.04248,378.0,317.4503
299.0,300.87604,378.0,318.756
343.0,314.84558,302.0,332.46548
274.0,324.18317,395.0,336.65546
245.0,333.94788,341.0,337.37213
299.0,332.7904,286.0,337.6373
292.0,331.73975,353.0,338.67142
259.0,316.66653,320.0,325.12122
305.0,321.17935,313.0,328.99512
241.0,315.1197,277.0,328.02594
316.0,307.09985,299.0,326.8066
289.0,302.5146,343.0,322.52448
299.0,302.39047,274.0,318.71155
295.0,294.2254,245.0,301.0437
316.0,291.25385,299.0,298.01086
271.0,303.49738,292.0,300.99658
265.0,288.95496,259.0,294.31085
277.0,290.57202,305.0,292.45166
262.0,284.33063,241.0,287.317
325.0,286.93494,316.0,293.45737
286.0,282.92722,289.0,287.68802
286.0,262.1354,299.0,279.47034
299.0,269.2931,295.0,280.79752
255.0,261.5622,316.0,271.9608
302.0,276.06195,271.0,277.3537
310.0,273.26624,265.0,280.81567
253.0,279.8914,277.0,289.8227
265.0,279.10004,262.0,296.0975
281.0,267.81317,325.0,283.5808
305.0,264.13895,286.0,281.76865
281.0,270.9271,286.0,282.33392
230.0,286.14862,299.0,300.05862
205.0,278.0076,255.0,295.7006
262.0,288.43872,302.0,302.13577
247.0,278.87787,310.0,293.67395
262.0,275.6936,253.0,289.433
251.0,275.00275,265.0,281.8007
232.0,274.61072,281.0,284.5808
230.0,264.79355,305.0,277.5115
247.0,266.78424,281.0,285.17032
241.0,255.31915,230.0,272.29257
196.0,252.20203,205.0,286.67087
226.0,259.613,262.0,289.56055
253.0,265.47833,247.0,289.95303
237.0,245.61607,262.0,269.62134
226.0,236.22202,251.0,255.88152
274.0,228.30957,232.0,247.00697
251.0,236.3549,230.0,256.9532
216.0,224.43675,247.0,246.0936
232.0,217.88156,241.0,242.47156
196.0,215.45338,196.0,238.53706
232.0,213.02562,226.0,235.48639
216.0,202.83995,253.0,231.63509
211.0,216.3863,237.0,235.96869
211.0,195.57237,226.0,224.44907
230.0,195.30045,274.0,226.44762
237.0,192.13693,251.0,228.2162
216.0,194.7879,216.0,227.03494
178.0,198.56393,232.0,234.8439
121.0,199.20299,196.0,235.395
199.0,201.9622,232.0,229.11269
163.0,198.44168,216.0,225.30252
163.0,194.10065,211.0,216.8772
166.0,186.17926,211.0,211.49626
159.0,192.05243,230.0,212.25253
156.0,196.45322,237.0,220.29564
93.0,190.38028,216.0,206.4684
88.0,176.94347,178.0,207.66344
93.0,178.08385,121.0,206.23683
102.0,178.18692,199.0,209.76587
88.0,160.5701,163.0,199.47552
90.0,143.08578,163.0,188.00665
88.0,130.73253,166.0,181.2883
88.0,129.418,159.0,176.17874
88.0,120.729095,156.0,175.48546
88.0,118.984474,93.0,164.97574
97.0,111.88701,88.0,163.18071
88.0,100.53128,93.0,149.59271
88.0,102.26336,102.0,136.83182
99.0,102.90639,88.0,127.71482
88.0,101.65382,90.0,109.311676
88.0,94.54305,88.0,104.39017
99.0,92.05957,88.0,100.05696
88.0,88.123085,88.0,96.01941
93.0,87.024086,88.0,92.07604
88.0,88.51447,97.0,87.629616
88.0,88.11765,88.0,89.73511
88.0,88.20708,88.0,91.349556
88.0,91.464615,99.0,87.98838
90.0,86.76525,88.0,88.808655
88.0,87.77812,88.0,88.87094
88.0,87.559746,99.0,89.007614
93.0,86.91717,88.0,89.80416
90.0,87.92524,93.0,89.65751
88.0,88.517265,88.0,90.55217
88.0,87.9544,88.0,89.7903
97.0,87.52236,88.0,89.59942
99.0,87.56629,88.0,88.07658
88.0,88.30631,90.0,88.35383
90.0,88.028786,88.0,87.929436
88.0,88.38977,88.0,88.54245
88.0,88.49716,93.0,89.31031
88.0,88.69952,90.0,90.414635
90.0,88.28509,88.0,89.503525
88.0,89.48998,88.0,90.81345
102.0,88.35351,97.0,89.816734
88.0,89.9206,99.0,90.426445
99.0,88.36758,88.0,89.02261
99.0,88.27104,90.0,89.48429
93.0,88.85738,88.0,89.086555
99.0,88.25362,88.0,87.06222
88.0,88.84591,88.0,89.08689
88.0,89.99167,90.0,88.26225
90.0,88.77797,88.0,87.132034
88.0,89.546745,102.0,88.695335
99.0,92.09177,88.0,87.08609
124.0,94.22778,99.0,88.78791
147.0,105.52752,99.0,88.29606
181.0,100.42358,93.0,87.1574
156.0,100.356476,99.0,87.57159
108.0,111.4283,88.0,87.302345
88.0,131.22885,88.0,89.16095
181.0,132.86072,90.0,89.853615
181.0,163.74634,88.0,90.183914
163.0,178.4629,99.0,89.59349
196.0,185.42307,124.0,89.13535
199.0,185.93835,147.0,94.03397
193.0,191.44168,181.0,108.50924
211.0,208.6923,156.0,123.47583
230.0,216.32413,108.0,141.66751
232.0,236.43347,88.0,161.60902
205.0,244.78535,181.0,174.15356
190.0,237.53015,181.0,176.25381
237.0,242.16858,163.0,175.43163
176.0,255.82684,196.0,184.08817
234.0,265.22235,199.0,194.0255
234.0,275.07544,193.0,204.05481
255.0,271.7156,211.0,211.79129
234.0,259.53146,230.0,216.45183
284.0,280.62628,232.0,230.44803
259.0,281.1159,205.0,232.37903
289.0,279.58313,190.0,240.50928
292.0,285.37177,237.0,247.9598
262.0,283.82178,176.0,234.14325
292.0,274.7207,234.0,225.10484
271.0,289.39557,234.0,237.11546
271.0,258.08893,255.0,202.8345
338.0,272.28415,234.0,236.1557
338.0,268.74304,284.0,227.9365
325.0,276.3498,259.0,256.331
338.0,297.89362,289.0,270.5773
332.0,299.5518,292.0,261.90726
332.0,274.1573,262.0,251.85944
323.0,306.4654,292.0,276.51834
271.0,322.3128,271.0,284.2741
360.0,313.0877,271.0,269.90698
259.0,320.02362,338.0,285.7268
307.0,308.65265,338.0,285.3356
332.0,293.92877,325.0,293.81808
383.0,318.25888,338.0,314.10663
350.0,302.44522,332.0,308.34467
343.0,302.99088,332.0,306.0105
371.0,261.86243,323.0,287.12064
320.0,292.04214,271.0,306.68674
313.0,304.96277,360.0,324.18823
437.0,303.72705,259.0,319.3708
313.0,308.41672,307.0,324.44818
310.0,305.30566,332.0,315.5644
313.0,277.601,383.0,288.4704
332.0,279.78156,350.0,292.663
305.0,278.9766,343.0,301.09338
374.0,294.7991,371.0,317.68127
329.0,309.8056,320.0,329.4214
343.0,315.32568,313.0,329.14685
338.0,326.42474,437.0,344.208
353.0,328.0637,313.0,337.15134
289.0,319.1278,310.0,335.71725
320.0,323.41913,313.0,340.8366
400.0,318.10767,332.0,335.4171
383.0,320.86548,305.0,336.75732
343.0,325.28015,374.0,338.21948
325.0,323.95984,329.0,332.57315
323.0,323.96188,343.0,335.91785
329.0,323.60913,338.0,336.67587
332.0,321.2901,353.0,327.51587
360.0,325.87036,289.0,328.39328
346.0,338.43982,320.0,341.38873
411.0,336.7461,400.0,341.4635
368.0,326.77542,383.0,333.52606
408.0,326.43668,343.0,335.92502
338.0,341.12192,325.0,344.9634
408.0,350.71204,323.0,348.78616
364.0,345.6694,329.0,340.42456
368.0,345.30228,332.0,341.19604
334.0,344.84424,360.0,346.26913
350.0,347.48688,346.0,340.45645
284.0,343.40796,411.0,339.1574
284.0,341.61942,368.0,337.49255
346.0,339.016,408.0,341.5523
346.0,348.90155,338.0,349.3506
389.0,355.72156,408.0,358.63196
385.0,354.26526,364.0,355.51794
374.0,352.75604,368.0,351.6192
332.0,347.81085,334.0,351.67838
332.0,351.84338,350.0,352.13367
316.0,353.5702,284.0,355.05237
292.0,347.66815,284.0,354.30374
353.0,348.32397,346.0,359.3897
316.0,345.0829,346.0,348.48767
419.0,331.25104,389.0,336.51874
415.0,329.8311,385.0,324.6206
310.0,327.63116,374.0,327.54962
323.0,339.34106,332.0,344.458
374.0,349.43036,332.0,341.17078
356.0,341.36496,316.0,332.5421
411.0,346.55704,292.0,336.99588
392.0,336.50406,353.0,332.1799
353.0,359.154,316.0,348.24146
284.0,336.9322,419.0,332.63068
408.0,334.39142,415.0,340.47028
234.0,334.8783,310.0,335.0385
378.0,346.40628,323.0,341.37848
368.0,355.99503,374.0,346.00284
329.0,357.83258,356.0,350.09607
360.0,352.6101,411.0,349.08826
395.0,346.0439,392.0,346.77084
360.0,350.2495,353.0,351.3145
383.0,347.53223,284.0,350.2629
332.0,346.9777,408.0,360.20917
364.0,342.95728,234.0,347.1599
289.0,333.94257,378.0,346.73914
305.0,346.12064,368.0,352.1954
411.0,330.20657,329.0,339.95776
404.0,334.9784,360.0,344.25168
360.0,323.96722,395.0,338.2165
371.0,327.0832,360.0,337.96283
353.0,327.30243,383.0,333.4126
334.0,331.4414,332.0,331.9109
307.0,329.84128,364.0,337.8222
343.0,339.58777,289.0,340.6834
320.0,335.15033,305.0,338.92657
268.0,339.0116,411.0,346.0191
374.0,335.19418,404.0,343.53534
316.0,334.2968,360.0,341.7392
411.0,334.66495,371.0,337.52463
325.0,345.6928,353.0,348.19055
398.0,343.3698,334.0,350.01007
292.0,344.7403,307.0,349.17776
395.0,342.62872,343.0,345.2083
374.0,336.03323,320.0,341.77014
353.0,328.50464,268.0,338.85275
334.0,322.77148,374.0,336.66168
338.0,316.19443,316.0,330.04926
374.0,321.33185,411.0,328.1896
425.0,314.93408,325.0,324.24664
343.0,308.8662,398.0,317.54022
307.0,315.72043,292.0,326.571
289.0,322.64624,395.0,324.871
332.0,333.12683,374.0,334.10437
341.0,333.8899,353.0,338.86755
305.0,330.913,334.0,334.50345
385.0,328.87958,338.0,337.96146
286.0,326.5813,374.0,337.25497
289.0,323.37595,425.0,340.29504
334.0,308.23703,343.0,329.47147
313.0,316.6016,307.0,335.1091
385.0,321.34283,289.0,339.50433
360.0,329.13315,332.0,346.53217
395.0,322.15067,341.0,338.8783
281.0,315.22443,305.0,326.79242
299.0,302.7294,385.0,320.28104
292.0,300.87128,286.0,318.91815
341.0,296.0323,289.0,312.55563
325.0,303.66455,334.0,321.93985
320.0,301.31348,313.0,315.62704
316.0,297.29156,385.0,313.2055
356.0,293.85977,360.0,307.43665
302.0,280.0929,395.0,302.68652
313.0,294.70825,281.0,314.20203
274.0,312.24805,299.0,317.56683
271.0,326.72995,292.0,329.24213
284.0,335.04675,341.0,332.86108
329.0,317.1176,325.0,325.9482
302.0,313.8,320.0,324.44604
313.0,312.34348,316.0,320.36716
313.0,307.07822,356.0,319.05902
277.0,317.3263,302.0,319.7131
286.0,320.2384,313.0,319.15103
262.0,316.86124,274.0,323.48074
234.0,325.05167,271.0,326.96555
302.0,321.42645,284.0,317.18176
305.0,316.66498,329.0,310.29868
305.0,309.8899,302.0,307.88535
323.0,309.10034,313.0,302.64825
251.0,298.23798,313.0,299.8279
334.0,311.27466,277.0,305.51093
299.0,299.00488,286.0,302.97137
302.0,303.11456,262.0,303.62537
274.0,296.80853,234.0,289.59985
271.0,299.89706,302.0,295.991
286.0,296.17212,305.0,297.43948
284.0,301.1265,305.0,296.46472
271.0,294.9051,323.0,291.8167
302.0,285.57196,251.0,283.6266
251.0,286.8339,334.0,293.59464
307.0,285.05557,299.0,291.96448
262.0,281.32248,302.0,279.8903
230.0,284.04413,274.0,285.59973
302.0,292.14523,271.0,285.1209
234.0,294.5559,286.0,291.5733
307.0,277.4002,284.0,280.2148
251.0,288.48013,271.0,282.0739
176.0,294.4632,302.0,284.31937
166.0,287.66953,251.0,283.60745
190.0,272.9922,307.0,276.22046
211.0,288.4437,262.0,286.58685
268.0,269.3115,230.0,277.03738
325.0,261.09137,302.0,266.58167
299.0,274.00043,234.0,276.84955
274.0,266.07233,307.0,268.2222
247.0,275.125,251.0,274.11868
277.0,258.4699,176.0,266.22955
265.0,258.5074,166.0,270.99048
274.0,253.90923,190.0,257.98938
